season,week,name,judge_sum,is_eliminated,judge_val,mode,est_fan_percent
1,1,John O'Hurley,20.0,0,1.0,rank,0.16666666666666666
1,2,John O'Hurley,26.0,0,1.0,rank,0.160235198123788
1,3,John O'Hurley,24.0,0,2.0,rank,0.16704965752853532
1,4,John O'Hurley,21.0,0,3.0,rank,0.18582702935351592
1,5,John O'Hurley,27.0,0,1.0,rank,0.16666666666666666
1,6,John O'Hurley,27.0,0,2.0,rank,0.16666666666666666
1,1,Kelly Monaco,13.0,0,6.0,rank,0.16666666666666666
1,2,Kelly Monaco,17.0,0,5.0,rank,0.21940890547698524
1,3,Kelly Monaco,21.0,0,4.0,rank,0.21725093537902238
1,4,Kelly Monaco,26.0,0,1.0,rank,0.07266246502444312
1,5,Kelly Monaco,23.5,0,2.0,rank,0.16666666666666666
1,6,Kelly Monaco,27.5,0,1.0,rank,0.16666666666666666
1,1,Evander Holyfield,18.0,0,4.0,rank,0.16666666666666666
1,2,Evander Holyfield,14.0,0,6.0,rank,0.2918079643080695
1,3,Evander Holyfield,13.0,1,5.0,rank,0.05118591741622383
1,4,Evander Holyfield,0.0,0,5.0,rank,0.30846580137207025
1,5,Evander Holyfield,0.0,0,4.0,rank,0.16666666666666666
1,6,Evander Holyfield,0.0,0,3.0,rank,0.16666666666666666
1,1,Rachel Hunter,20.0,0,1.0,rank,0.16666666666666666
1,2,Rachel Hunter,24.0,0,2.0,rank,0.1364570197270064
1,3,Rachel Hunter,26.0,0,1.0,rank,0.17197975596229603
1,4,Rachel Hunter,25.0,1,2.0,rank,0.023048849389256568
1,5,Rachel Hunter,0.0,0,4.0,rank,0.16666666666666666
1,6,Rachel Hunter,0.0,0,3.0,rank,0.16666666666666666
1,1,Joey McIntyre,20.0,0,1.0,rank,0.16666666666666666
1,2,Joey McIntyre,21.0,0,3.0,rank,0.15766529215742672
1,3,Joey McIntyre,22.0,0,3.0,rank,0.17663506491001027
1,4,Joey McIntyre,20.0,0,4.0,rank,0.17930494599749536
1,5,Joey McIntyre,22.5,0,3.0,rank,0.16666666666666666
1,6,Joey McIntyre,0.0,0,3.0,rank,0.16666666666666666
1,1,Trista Sutter,18.0,0,4.0,rank,0.16666666666666666
1,2,Trista Sutter,19.0,1,4.0,rank,0.03442562020672407
1,3,Trista Sutter,0.0,0,6.0,rank,0.21589866880391193
1,4,Trista Sutter,0.0,0,5.0,rank,0.2306909088632189
1,5,Trista Sutter,0.0,0,4.0,rank,0.16666666666666666
1,6,Trista Sutter,0.0,0,3.0,rank,0.16666666666666666
2,1,Tatum O'Neal,23.0,0,2.0,rank,0.09811836544529162
2,2,Tatum O'Neal,17.0,1,8.0,rank,0.024062063341499032
2,3,Tatum O'Neal,0.0,0,9.0,rank,0.16552222696929364
2,4,Tatum O'Neal,0.0,0,8.0,rank,0.12687132907047546
