season,week,celebrity,fan_share_mean,fan_share_std,base_count,casual_votes,total_votes,fan_votes_mean,total_pool,model_confidence
1,1,John O'Hurley,0.1682336807707973,0.050495520297282326,136367.7576633651,56127.28448124924,192495.04214461433,192495.04214461433,1010039.2763864269,1.0
1,1,Kelly Monaco,0.15893313099680315,0.05036389207999164,146902.71117753995,36217.083962000506,183119.79513954045,183119.79513954045,1010039.2763864269,1.0
1,1,Evander Holyfield,0.16857816838655457,0.04785464156036694,143567.72192040458,49689.42328844672,193257.1452088513,193257.1452088513,1010039.2763864269,1.0
1,1,Rachel Hunter,0.17208776951235583,0.04951398787863577,141225.26428068566,56390.9060125995,197616.1702932852,197616.1702932852,1010039.2763864269,1.0
1,1,Joey McIntyre,0.16873279355374818,0.05062476032330127,139979.96769213222,54005.672583649604,193985.64027578183,193985.64027578183,1010039.2763864269,1.0
1,1,Trista Sutter,0.16343445677974094,0.04887531326392788,138105.83850823087,49977.02003859973,188082.85854683057,188082.85854683057,1010039.2763864269,1.0
1,2,John O'Hurley,0.1619773146850295,0.043101827349822215,113904.94837364026,69873.98185963096,183778.93023327127,183778.93023327127,1071138.8097663503,0.092
1,2,Kelly Monaco,0.18613256740803377,0.037537464492371664,162917.9390410396,48239.65414557605,211157.5931866156,211157.5931866156,1071138.8097663503,0.092
1,2,Evander Holyfield,0.20019688580171344,0.025378295930468038,193604.54552589302,35670.668504907095,229275.21403080015,229275.21403080015,1071138.8097663503,0.092
1,2,Rachel Hunter,0.16184290820462263,0.038144350172715565,123561.895048637,59914.27306381361,183476.1681124506,183476.1681124506,1071138.8097663503,0.092
1,2,Joey McIntyre,0.17261227149246583,0.03615780904343221,144947.05826591048,53256.913688925655,198203.9719548362,198203.9719548362,1071138.8097663503,0.092
1,2,Trista Sutter,0.11723805240813479,0.0206087298320605,94955.69388155034,38709.09456393321,133664.78844548354,133664.78844548354,1071138.8097663503,0.092
1,3,John O'Hurley,0.18249603466601128,0.042175048777598076,107415.9606888128,94120.28933166245,201536.25002047519,201536.25002047519,1403412.132054992,0.446
1,3,Kelly Monaco,0.22611381456059157,0.02596825799651535,165711.41666306581,89030.57491704327,254741.9915801091,254741.9915801091,1403412.132054992,0.446
1,3,Evander Holyfield,0.1927500068343848,0.018059771654920048,171081.34884045844,44888.64598457193,215969.9948250304,215969.9948250304,1403412.132054992,0.446
1,3,Rachel Hunter,0.1996701976551543,0.04232441827094872,130382.91506539084,93401.53730605914,223784.45237145002,223784.45237145002,1403412.132054992,0.446
1,3,Joey McIntyre,0.19896994628385803,0.04332371218448147,142927.11973154222,80032.21123548035,222959.33096702257,222959.33096702257,1403412.132054992,0.446
1,5,John O'Hurley,0.36097293466471275,0.08612363321725261,145188.88438452475,351218.5152066477,496407.39959117246,496407.39959117246,3157519.547303744,1.0
1,5,Kelly Monaco,0.3259594156317499,0.08334499854827661,142693.35055675244,304648.8481551987,447342.19871195115,447342.19871195115,3157519.547303744,1.0
1,5,Joey McIntyre,0.31306764970353734,0.07817317580054721,139503.2855648154,288933.0007478531,428436.28631266847,428436.28631266847,3157519.547303744,1.0
1,6,John O'Hurley,0.4988816112402486,0.11692809940293572,143681.5077676992,491361.48062559654,635042.9883932958,635042.9883932958,3236948.940697645,1.0
1,6,Kelly Monaco,0.5011183887597515,0.11692809940293572,143212.41006303887,496492.7632365128,639705.1732995516,639705.1732995516,3236948.940697645,1.0
2,1,Tatum O'Neal,0.09822142991293281,0.03307199465393269,131218.87608069903,36285.71253511627,167504.58861581536,167504.58861581536,1010039.2763864268,0.252
2,1,Tia Carrere,0.10242674665005153,0.03239261842909527,141897.48112044556,32553.935056403803,174451.4161768494,174451.4161768494,1010039.2763864268,0.252
2,1,George Hamilton,0.11021969122360772,0.03280460075416705,159128.33044211013,28668.438871475548,187796.76931358565,187796.76931358565,1010039.2763864268,0.252
2,1,Lisa Rinna,0.10264249437753994,0.031783494623249364,144582.83098349496,29946.13236106722,174528.96334456227,174528.96334456227,1010039.2763864268,0.252
2,1,Stacy Keibler,0.1030768458238806,0.03671591275987228,140451.9329177536,34123.65346216456,174575.5863799182,174575.5863799182,1010039.2763864268,0.252
2,1,Jerry Rice,0.10332423644993462,0.030979087362158694,144357.0126259982,32440.87414510064,176797.88677109886,176797.88677109886,1010039.2763864268,0.252
2,1,Giselle Fernandez,0.1004003201087184,0.03287355399112228,135265.1726485247,35199.22905646398,170464.40170498868,170464.40170498868,1010039.2763864268,0.252
2,1,Master P,0.10986051645277269,0.02929511332152253,167513.9748072867,18958.780033729716,186472.75484101643,186472.75484101643,1010039.2763864268,0.252
