season,week,celebrity,fan_share_mean,fan_share_std,base_count,casual_votes,total_votes,fan_votes_mean,total_pool,model_confidence,fusion_type,fan_votes_std
1,1,Evander Holyfield,0.16560777937848575,0.04888162730134754,143567.72192040458,496894.2328844671,640461.9548048717,1672703.6164740883,10100392.763864273,1.0,Inside,493723.63468044094
1,1,Joey McIntyre,0.17535571215463058,0.051966104727159866,139979.96769213222,540056.7258364959,680036.6935286282,1771161.5661488967,10100392.763864273,1.0,Inside,524878.0681524184
1,1,John O'Hurley,0.18035572489094392,0.05566118019346408,136367.7576633651,561272.8448124924,697640.6024758575,1821663.6586099854,10100392.763864273,1.0,Inside,562199.78165421
1,1,Kelly Monaco,0.13250416793508432,0.041230498360547804,146902.71117753995,362170.839620005,509073.55079754494,1338344.138993382,10100392.763864273,1.0,Inside,416444.2272913947
1,1,Rachel Hunter,0.18153589216696253,0.05285300528562972,141225.26428068566,563909.0601259951,705134.3244066805,1833583.811624833,10100392.763864273,1.0,Inside,533836.1121354545
1,1,Trista Sutter,0.16464072347389289,0.047321626125538294,138105.83850823087,499770.20038599725,637876.0388942279,1662935.972013086,10100392.763864273,1.0,Inside,477967.01009267743
1,2,Evander Holyfield,0.18093933874931137,0.015266226315006973,156780.5637648977,504070.91405758634,660851.477822484,1938111.4794784782,10711388.0976635,0.038,Inside,163522.47484680303
1,2,Joey McIntyre,0.18345081187165296,0.053099087939858486,151025.48103329647,521003.30354007636,672028.7845733728,1965012.8427887296,10711388.0976635,0.038,Inside,568764.9385557878
1,2,John O'Hurley,0.20095943389536647,0.07939432670493227,140775.70035395195,596803.3586204256,737579.0589743775,2152554.4883400234,10711388.0976635,0.038,Inside,850423.446089219
1,2,Kelly Monaco,0.16800049859274868,0.04090995403742079,164421.77008337402,448385.24063566414,612807.0107190383,1799518.541027902,10711388.0976635,0.038,Inside,438202.3947523899
1,2,Rachel Hunter,0.16654682723898462,0.057491736244206865,116605.33001485442,491294.47827981855,607899.8082946729,1783947.7029912793,10711388.0976635,0.038,Inside,615816.2993202067
1,2,Trista Sutter,0.07815302307483787,0.01044761054986461,119554.19009660101,246376.86213188746,365931.05222848844,837127.3611602393,10711388.0976635,0.038,Intersection,111908.4112928434
1,3,Evander Holyfield,0.17010440446488637,0.019004943527385548,199778.544857177,615807.8015239973,815586.3463811744,2387265.8494201098,14034121.320549926,0.42,Inside,266717.68315352884
1,3,Joey McIntyre,0.20749564264259418,0.06813606008922904,162395.38786189692,812575.967364332,974971.3552262288,2912019.022331639,14034121.320549926,0.42,Inside,956229.7335965201
