season,week,survival_rate,n_valid,n_total
1,1,1.0,500,500
1,2,0.038,19,500
1,3,0.42,210,500
1,4,0.001,500,500
1,5,1.0,500,500
1,6,1.0,500,500
2,1,0.266,133,500
2,2,0.472,236,500
2,3,0.034,17,500
2,4,0.994,497,500
2,5,0.502,251,500
2,6,0.58,290,500
2,7,0.001,500,500
2,8,1.0,500,500
3,1,0.64,320,500
3,2,0.096,48,500
3,3,0.018,9,500
3,4,0.001,500,500
3,5,0.126,63,500
3,6,1.0,500,500
3,7,1.0,500,500
3,8,1.0,500,500
3,9,1.0,500,500
3,10,1.0,500,500
4,1,1.0,500,500
4,2,0.114,57,500
4,3,0.054,27,500
4,4,0.664,332,500
4,5,0.994,497,500
4,6,0.04,20,500
4,7,0.001,500,500
4,8,0.298,149,500
4,9,0.001,500,500
4,10,1.0,500,500
5,1,0.476,238,500
5,2,0.034,17,500
5,3,0.166,83,500
5,4,0.004,500,500
5,5,0.001,500,500
5,6,0.001,500,500
5,7,0.001,500,500
5,8,0.001,500,500
5,9,0.001,500,500
5,10,1.0,500,500
6,1,1.0,500,500
6,2,0.188,94,500
6,3,0.032,16,500
6,4,0.596,298,500
6,5,0.808,404,500
6,6,0.998,499,500
6,7,0.001,500,500
6,8,0.001,500,500
6,9,0.374,187,500
6,10,1.0,500,500
7,1,0.112,56,500
7,2,0.004,500,500
7,3,1.0,500,500
7,4,0.004,500,500
7,5,0.001,500,500
7,6,1.0,500,500
7,7,0.001,500,500
7,8,0.001,500,500
7,9,0.001,500,500
7,10,1.0,500,500
8,1,1.0,500,500
8,2,0.098,49,500
8,3,0.052,26,500
8,4,0.328,164,500
8,5,0.001,500,500
8,6,0.992,496,500
8,7,0.24,120,500
8,8,0.014,7,500
8,9,0.001,500,500
8,10,0.022,11,500
8,11,1.0,500,500
9,1,0.106,53,500
9,2,0.12,60,500
9,3,0.016,8,500
9,4,0.994,497,500
9,5,0.95,475,500
9,6,0.001,500,500
9,7,0.006,500,500
9,8,0.001,500,500
9,9,0.001,500,500
9,10,1.0,500,500
10,1,1.0,500,500
10,2,0.008,500,500
10,3,0.001,500,500
10,4,0.196,98,500
10,5,0.11,55,500
10,6,1.0,500,500
10,7,0.001,500,500
10,8,0.124,62,500
10,9,0.138,69,500
10,10,1.0,500,500
11,1,0.23,115,500
11,2,0.804,402,500
11,3,0.274,137,500
11,4,0.548,274,500
11,5,0.132,66,500
11,6,0.026,13,500
11,7,0.001,500,500
11,8,0.258,129,500
11,9,0.001,500,500
11,10,1.0,500,500
12,1,1.0,500,500
12,2,0.2,100,500
12,3,0.664,332,500
12,4,0.076,38,500
12,5,0.084,42,500
12,6,0.108,54,500
12,7,0.001,500,500
12,8,0.001,500,500
12,9,0.001,500,500
12,10,1.0,500,500
13,1,0.33,165,500
13,2,0.01,5,500
13,3,0.001,500,500
13,4,0.226,113,500
13,5,1.0,500,500
13,6,0.001,500,500
13,7,0.001,500,500
13,8,0.002,500,500
13,9,0.094,47,500
13,10,1.0,500,500
14,1,1.0,500,500
14,2,0.422,211,500
14,3,0.148,74,500
14,4,0.016,8,500
14,5,0.802,401,500
14,6,0.001,500,500
14,7,0.001,500,500
14,8,0.001,500,500
14,9,0.782,391,500
14,10,1.0,500,500
15,1,0.356,178,500
15,2,0.03,15,500
15,3,0.001,500,500
15,4,0.001,500,500
15,5,1.0,500,500
15,6,0.12,60,500
15,7,1.0,500,500
15,8,0.001,500,500
15,9,0.001,500,500
15,10,1.0,500,500
16,1,1.0,500,500
16,2,0.328,164,500
16,3,0.548,274,500
16,4,0.242,121,500
16,5,0.306,153,500
16,6,0.37,185,500
16,7,0.914,457,500
16,8,0.366,183,500
16,9,0.001,500,500
16,10,0.352,176,500
17,1,1.0,500,500
17,2,0.194,97,500
17,3,0.332,166,500
17,4,0.334,167,500
17,5,0.084,42,500
17,6,1.0,500,500
17,7,0.794,397,500
17,8,0.001,500,500
17,9,0.001,500,500
17,10,0.001,500,500
17,11,0.978,489,500
18,1,1.0,500,500
18,2,0.118,59,500
18,3,1.0,500,500
18,4,1.0,500,500
18,5,0.17,85,500
18,6,0.02,10,500
18,7,0.001,500,500
18,8,0.818,409,500
18,9,0.001,500,500
18,10,0.158,79,500
19,1,0.308,154,500
19,2,0.182,91,500
19,3,0.338,169,500
19,4,0.001,500,500
19,5,1.0,500,500
19,6,0.11,55,500
19,7,0.164,82,500
19,8,1.0,500,500
19,9,0.032,16,500
19,10,0.001,500,500
19,11,0.004,500,500
20,1,1.0,500,500
20,2,0.01,5,500
20,3,0.454,227,500
20,4,0.164,82,500
20,5,0.162,81,500
20,6,0.001,500,500
20,7,0.056,28,500
20,8,0.001,500,500
20,9,0.034,17,500
20,10,1.0,500,500
21,1,1.0,500,500
21,2,0.068,34,500
21,3,1.0,500,500
21,4,0.43,215,500
21,5,1.0,500,500
21,6,0.424,212,500
21,7,0.13,65,500
21,8,1.0,500,500
21,9,0.001,500,500
21,10,1.0,500,500
21,11,0.126,63,500
22,1,1.0,500,500
22,2,0.568,284,500
22,3,0.204,102,500
22,4,0.174,87,500
22,5,1.0,500,500
22,6,0.18,90,500
22,7,0.022,11,500
22,8,0.001,500,500
22,9,0.154,77,500
22,10,1.0,500,500
23,1,1.0,500,500
23,2,0.158,79,500
23,3,0.092,46,500
23,4,0.036,18,500
23,5,1.0,500,500
23,6,0.001,500,500
23,7,0.001,500,500
23,8,0.001,500,500
23,9,0.001,500,500
23,10,0.001,500,500
23,11,0.001,500,500
24,1,1.0,500,500
24,2,0.252,126,500
24,3,0.206,103,500
24,4,0.108,54,500
24,5,0.014,7,500
24,6,0.001,500,500
24,7,0.826,413,500
24,8,0.088,44,500
24,9,0.07,35,500
24,10,1.0,500,500
25,1,1.0,500,500
25,2,0.05,25,500
25,3,1.0,500,500
25,4,0.002,500,500
25,5,0.001,500,500
25,6,0.94,470,500
25,7,0.001,500,500
25,8,0.044,22,500
25,9,0.001,500,500
25,10,0.001,500,500
26,1,0.088,44,500
26,2,0.028,14,500
26,3,0.198,99,500
26,4,1.0,500,500
27,1,0.118,59,500
27,2,0.384,192,500
27,3,0.06,30,500
27,4,0.001,500,500
27,5,1.0,500,500
27,6,0.002,500,500
27,7,0.001,500,500
27,8,0.001,500,500
27,9,1.0,500,500
28,1,1.0,500,500
28,2,0.034,17,500
28,3,1.0,500,500
28,4,0.146,73,500
28,5,1.0,500,500
28,6,0.001,500,500
28,7,0.001,500,500
28,8,0.001,500,500
28,9,0.006,500,500
28,10,1.0,500,500
28,11,1.0,500,500
29,1,1.0,500,500
29,2,0.338,169,500
29,3,0.486,243,500
29,4,0.036,18,500
29,5,0.552,276,500
29,6,0.254,127,500
29,7,0.001,500,500
29,8,0.001,500,500
29,9,0.046,23,500
29,10,0.001,500,500
29,11,1.0,500,500
30,1,1.0,500,500
30,2,0.504,252,500
30,3,0.002,500,500
30,4,0.001,500,500
30,5,0.001,500,500
30,6,0.998,499,500
30,7,1.0,500,500
30,8,0.001,500,500
30,9,0.001,500,500
30,10,1.0,500,500
31,1,0.258,129,500
31,2,0.168,84,500
31,3,0.056,28,500
31,4,0.01,5,500
31,5,0.001,500,500
31,6,0.902,451,500
31,7,0.001,500,500
31,8,0.994,497,500
31,9,0.13,65,500
31,10,1.0,500,500
32,1,0.274,137,500
32,2,0.04,20,500
32,3,0.838,419,500
32,4,0.001,500,500
32,5,0.058,29,500
32,6,0.001,500,500
32,7,0.01,5,500
32,8,0.001,500,500
32,9,0.034,17,500
32,10,1.0,500,500
32,11,1.0,500,500
33,1,1.0,500,500
33,2,0.014,7,500
33,3,0.104,52,500
33,4,0.001,500,500
33,5,0.001,500,500
33,6,0.001,500,500
33,7,0.994,497,500
33,8,1.0,500,500
33,9,1.0,500,500
34,1,1.0,500,500
34,2,0.076,38,500
34,3,0.518,259,500
34,4,0.001,500,500
34,5,1.0,500,500
34,6,0.194,97,500
34,7,0.154,77,500
34,8,0.536,268,500
34,9,0.772,386,500
34,10,0.001,500,500
34,11,1.0,500,500
