celebrity,season,week,A_raw,A_norm,A_zscore,A_core,P_raw,P_avg,P_peak,P_stability,RI,FDI,PS,Category
John O'Hurley,1,1,6.666666666666667,1.0,0.6754697823349771,0.38216489537876797,0.1654822553485231,0.22854319077482618,0.3324664095893093,0.7190538775830214,3.0044906828728424,0.4739938410391584,0.32071621353719126,Popular
Kelly Monaco,1,1,4.333333333333333,0.0,-1.9035966593076652,-0.21376845691501398,0.1671723773930993,0.31677863625031594,0.7502770054294023,0.35590422070999084,8.938052151401115,1.0095936327217152,-0.0015496196488820058,Popular
Evander Holyfield,1,1,6.0,0.7142857142857142,-0.06140634384863509,-1.0327863638373744,0.1676344750327953,0.1772434878126897,0.2833114342863215,0.5319434984874257,-4.34249604569215,0.15646682681831364,-0.5487744231773488,Popular
Rachel Hunter,1,1,6.666666666666667,1.0,0.6754697823349771,0.7957130087841497,0.166523016562931,0.1471860449060928,0.2082733839772239,0.6375163258911314,-2.572669137815882,0.16432277243118829,0.536302223232927,Skilled
Joey McIntyre,1,1,6.666666666666667,1.0,0.6754697823349771,-0.15421108368657932,0.16599182313119,0.2807239010324499,0.5183124187714194,0.5241351918308288,6.868463961374364,1.1042944979478497,0.019762910201032366,Popular
Trista Sutter,1,1,6.0,0.7142857142857142,-0.06140634384863509,-0.16190807798704746,0.1671960525314622,0.10198744481222854,0.1671960525314622,0.36062122313888023,-13.04172154384673,0.3894016770924961,-0.05634986886733705,Average
John O'Hurley,1,2,8.666666666666666,1.0,1.3120490606272974,0.38216489537876797,0.1435250051728832,0.22854319077482618,0.3324664095893093,0.7190538775830214,3.0044906828728424,0.4739938410391584,0.32071621353719126,Popular
Kelly Monaco,1,2,5.666666666666667,0.25000000000000006,-0.7122552043405329,-0.21376845691501398,0.2212282893126313,0.31677863625031594,0.7502770054294023,0.35590422070999084,8.938052151401115,1.0095936327217152,-0.0015496196488820058,Popular
Evander Holyfield,1,2,4.666666666666667,0.0,-1.3870232926631432,-1.0327863638373744,0.2833114342863215,0.1772434878126897,0.2833114342863215,0.5319434984874257,-4.34249604569215,0.15646682681831364,-0.5487744231773488,Popular
Rachel Hunter,1,2,8.0,0.8333333333333335,0.8622036684122242,0.7957130087841497,0.151953646330667,0.1471860449060928,0.2082733839772239,0.6375163258911314,-2.572669137815882,0.16432277243118829,0.536302223232927,Skilled
Joey McIntyre,1,2,7.0,0.5833333333333334,0.1874355800896139,-0.15421108368657932,0.1632027878045029,0.2807239010324499,0.5183124187714194,0.5241351918308288,6.868463961374364,1.1042944979478497,0.019762910201032366,Popular
Trista Sutter,1,2,6.333333333333333,0.41666666666666663,-0.26240981212545983,-0.16190807798704746,0.0367788370929949,0.10198744481222854,0.1671960525314622,0.36062122313888023,-13.04172154384673,0.3894016770924961,-0.05634986886733705,Average
John O'Hurley,1,3,8.0,0.8461538461538463,0.5633905456098732,0.38216489537876797,0.2082593251609004,0.22854319077482618,0.3324664095893093,0.7190538775830214,3.0044906828728424,0.4739938410391584,0.32071621353719126,Popular
Kelly Monaco,1,3,7.0,0.6153846153846155,-0.04024218182927708,-0.21376845691501398,0.2784304670042361,0.31677863625031594,0.7502770054294023,0.35590422070999084,8.938052151401115,1.0095936327217152,-0.0015496196488820058,Popular
Evander Holyfield,1,3,4.333333333333333,0.0,-1.649929455000345,-1.0327863638373744,0.0807845541189523,0.1772434878126897,0.2833114342863215,0.5319434984874257,-4.34249604569215,0.15646682681831364,-0.5487744231773488,Popular
Rachel Hunter,1,3,8.666666666666666,1.0,0.9658123639026398,0.7957130087841497,0.2082733839772239,0.1471860449060928,0.2082733839772239,0.6375163258911314,-2.572669137815882,0.16432277243118829,0.536302223232927,Skilled
Joey McIntyre,1,3,7.333333333333333,0.6923076923076924,0.16096872731710618,-0.15421108368657932,0.2242522697386872,0.2807239010324499,0.5183124187714194,0.5241351918308288,6.868463961374364,1.1042944979478497,0.019762910201032366,Popular
John O'Hurley,1,4,7.0,0.1666666666666666,-0.6793662204867579,0.38216489537876797,0.2718031548067433,0.22854319077482618,0.3324664095893093,0.7190538775830214,3.0044906828728424,0.4739938410391584,0.32071621353719126,Popular
Kelly Monaco,1,4,8.666666666666666,1.0,1.0190493307301354,-0.21376845691501398,0.1478902936682878,0.31677863625031594,0.7502770054294023,0.35590422070999084,8.938052151401115,1.0095936327217152,-0.0015496196488820058,Popular
Rachel Hunter,1,4,8.333333333333334,0.8333333333333338,0.6793662204867579,0.7957130087841497,0.0619941327535493,0.1471860449060928,0.2082733839772239,0.6375163258911314,-2.572669137815882,0.16432277243118829,0.536302223232927,Skilled
Joey McIntyre,1,4,6.666666666666667,0.0,-1.0190493307301363,-0.15421108368657932,0.5183124187714194,0.2807239010324499,0.5183124187714194,0.5241351918308288,6.868463961374364,1.1042944979478497,0.019762910201032366,Popular
John O'Hurley,1,5,9.0,1.0,1.1285529853737577,0.38216489537876797,0.3324664095893093,0.22854319077482618,0.3324664095893093,0.7190538775830214,3.0044906828728424,0.4739938410391584,0.32071621353719126,Popular
Kelly Monaco,1,5,7.833333333333333,0.22222222222222202,-0.35267280792929895,-0.21376845691501398,0.3356733846942389,0.31677863625031594,0.7502770054294023,0.35590422070999084,8.938052151401115,1.0095936327217152,-0.0015496196488820058,Popular
Joey McIntyre,1,5,7.5,0.0,-0.7758801774444575,-0.15421108368657932,0.3318602057164499,0.2807239010324499,0.5183124187714194,0.5241351918308288,6.868463961374364,1.1042944979478497,0.019762910201032366,Popular
John O'Hurley,1,6,9.0,0.0,-0.70710678118654,0.38216489537876797,0.2497229945705978,0.22854319077482618,0.3324664095893093,0.7190538775830214,3.0044906828728424,0.4739938410391584,0.32071621353719126,Popular
Kelly Monaco,1,6,9.166666666666666,1.0,0.707106781186555,-0.21376845691501398,0.7502770054294023,0.31677863625031594,0.7502770054294023,0.35590422070999084,8.938052151401115,1.0095936327217152,-0.0015496196488820058,Popular
Tatum O'Neal,2,1,7.666666666666667,0.9166666666666667,0.8447438860445863,-0.19402481268000288,0.1019276699107374,0.06470048216003865,0.1019276699107374,0.4246227151968336,-7.44543755013975,0.22005109558714137,-0.09053469474398626,Average
Tia Carrere,2,1,6.666666666666667,0.6666666666666667,0.12067769800636965,0.01247179331809627,0.1034533339302519,0.1079744777277882,0.1487146075584906,0.7330271389795149,-0.5964971980731908,0.9600138358460364,0.05067286708197305,Average
George Hamilton,2,1,6.0,0.5,-0.3620330940191083,-0.3728393629200615,0.1197810233842716,0.14031853834742328,0.1939076103844202,0.7053880976987648,0.2219002265458723,0.2967573119988862,-0.16757620241306756,Average
Lisa Rinna,2,1,6.333333333333333,0.5833333333333333,-0.12067769800636965,0.10165749282079038,0.106699660734085,0.14135707744917705,0.2234970359411993,0.6896518423020925,0.5019162121078231,0.7009760732014987,0.11753732667214506,Average
