season,week,survival_rate,n_valid,n_total
1,1,1.0,500,500
1,2,0.092,46,500
1,3,0.446,223,500
1,4,0.0,0,500
1,5,1.0,500,500
1,6,1.0,500,500
2,1,0.258,129,500
2,2,0.414,207,500
2,3,0.168,84,500
2,4,0.224,112,500
2,5,0.628,314,500
2,6,0.134,67,500
2,7,0.0,0,500
2,8,1.0,500,500
3,1,0.498,249,500
3,2,0.13,65,500
3,3,0.096,48,500
3,4,0.098,49,500
3,5,0.06,30,500
3,6,1.0,500,500
3,7,1.0,500,500
3,8,0.064,32,500
3,9,1.0,500,500
3,10,1.0,500,500
4,1,1.0,500,500
4,2,0.14,70,500
4,3,0.094,47,500
4,4,0.576,288,500
4,5,0.906,453,500
4,6,0.0,0,500
4,7,0.118,59,500
4,8,0.274,137,500
4,9,0.152,76,500
4,10,1.0,500,500
5,1,0.332,166,500
5,2,0.054,27,500
5,3,0.032,16,500
5,4,0.052,26,500
5,5,0.0,0,500
5,6,0.198,99,500
5,7,0.108,54,500
5,8,0.416,208,500
5,9,0.022,11,500
5,10,1.0,500,500
6,1,1.0,500,500
6,2,0.186,93,500
6,3,0.038,19,500
6,4,0.338,169,500
6,5,0.248,124,500
6,6,0.94,470,500
6,7,0.138,69,500
6,8,1.0,500,500
6,9,0.994,497,500
6,10,1.0,500,500
7,1,0.052,26,500
7,2,0.038,19,500
7,3,1.0,500,500
7,4,0.05,25,500
7,5,0.892,446,500
7,6,0.974,487,500
7,7,0.0,0,500
7,8,0.366,183,500
7,9,0.454,227,500
7,10,1.0,500,500
8,1,1.0,500,500
8,2,0.146,73,500
8,3,0.148,74,500
8,4,0.122,61,500
8,5,0.222,111,500
8,6,0.0,0,500
8,7,0.488,244,500
8,8,0.186,93,500
8,9,0.172,86,500
8,10,0.324,162,500
8,11,1.0,500,500
9,1,0.068,34,500
9,2,0.078,39,500
9,3,0.0,0,500
9,4,0.176,88,500
9,5,0.234,117,500
9,6,0.014,7,500
9,7,0.03,15,500
9,8,0.982,491,500
9,9,0.0,0,500
9,10,1.0,500,500
10,1,1.0,500,500
10,2,0.026,13,500
10,3,0.242,121,500
10,4,0.366,183,500
10,5,0.146,73,500
10,6,0.95,475,500
10,7,0.002,1,500
10,8,0.476,238,500
10,9,0.276,138,500
10,10,1.0,500,500
11,1,0.22,110,500
11,2,0.626,313,500
11,3,0.236,118,500
11,4,0.542,271,500
11,5,0.104,52,500
11,6,0.0,0,500
11,7,0.178,89,500
11,8,0.208,104,500
11,9,0.626,313,500
11,10,1.0,500,500
12,1,1.0,500,500
12,2,0.216,108,500
12,3,0.452,226,500
12,4,0.062,31,500
12,5,0.31,155,500
12,6,0.942,471,500
12,7,0.72,360,500
12,8,0.042,21,500
12,9,0.878,439,500
12,10,1.0,500,500
13,1,0.326,163,500
13,2,0.01,5,500
13,3,0.012,6,500
13,4,0.98,490,500
13,5,0.23,115,500
13,6,0.002,1,500
13,7,0.214,107,500
13,8,0.414,207,500
13,9,0.67,335,500
13,10,1.0,500,500
14,1,1.0,500,500
14,2,0.39,195,500
14,3,0.122,61,500
14,4,0.08,40,500
14,5,0.666,333,500
14,6,0.0,0,500
14,7,0.258,129,500
14,8,0.056,28,500
14,9,0.144,72,500
14,10,1.0,500,500
15,1,0.314,157,500
15,2,0.072,36,500
15,3,0.108,54,500
15,4,0.02,10,500
15,5,1.0,500,500
15,6,0.0,0,500
15,7,1.0,500,500
15,8,0.088,44,500
15,9,0.074,37,500
15,10,1.0,500,500
16,1,1.0,500,500
16,2,0.394,197,500
16,3,0.468,234,500
16,4,0.394,197,500
16,5,0.53,265,500
16,6,0.454,227,500
16,7,0.908,454,500
16,8,0.792,396,500
16,9,0.116,58,500
16,10,0.032,16,500
17,1,1.0,500,500
17,2,0.25,125,500
17,3,0.358,179,500
17,4,0.136,68,500
17,5,0.026,13,500
17,6,1.0,500,500
17,7,0.858,429,500
17,8,0.0,0,500
17,9,0.022,11,500
17,10,0.474,237,500
17,11,0.524,262,500
18,1,1.0,500,500
18,2,0.118,59,500
18,3,1.0,500,500
18,4,1.0,500,500
18,5,0.208,104,500
18,6,0.008,4,500
18,7,0.262,131,500
18,8,0.062,31,500
18,9,0.146,73,500
18,10,0.41,205,500
19,1,0.26,130,500
19,2,0.188,94,500
19,3,0.206,103,500
19,4,0.096,48,500
19,5,1.0,500,500
19,6,0.01,5,500
19,7,0.008,4,500
19,8,0.558,279,500
19,9,0.124,62,500
19,10,0.2,100,500
19,11,0.472,236,500
20,1,1.0,500,500
20,2,0.032,16,500
20,3,0.458,229,500
20,4,0.104,52,500
20,5,0.0,0,500
20,6,0.14,70,500
20,7,0.034,17,500
20,8,0.16,80,500
20,9,1.0,500,500
20,10,1.0,500,500
21,1,1.0,500,500
21,2,0.036,18,500
21,3,1.0,500,500
21,4,0.468,234,500
21,5,1.0,500,500
21,6,0.086,43,500
21,7,0.0,0,500
21,8,0.372,186,500
21,9,0.03,15,500
21,10,1.0,500,500
21,11,0.35,175,500
22,1,1.0,500,500
22,2,0.466,233,500
22,3,0.13,65,500
22,4,0.044,22,500
22,5,1.0,500,500
22,6,0.424,212,500
22,7,0.024,12,500
22,8,0.0,0,500
22,9,0.03,15,500
22,10,1.0,500,500
23,1,1.0,500,500
23,2,0.152,76,500
23,3,0.09,45,500
23,4,0.0,0,500
23,5,1.0,500,500
23,6,0.316,158,500
23,7,0.224,112,500
23,8,0.214,107,500
23,9,0.0,0,500
23,10,0.154,77,500
23,11,0.43,215,500
24,1,1.0,500,500
24,2,0.246,123,500
24,3,0.2,100,500
24,4,0.14,70,500
24,5,0.024,12,500
24,6,0.802,401,500
24,7,0.0,0,500
24,8,0.454,227,500
24,9,0.106,53,500
24,10,1.0,500,500
25,1,1.0,500,500
25,2,0.066,33,500
25,3,1.0,500,500
25,4,0.078,39,500
25,5,0.166,83,500
25,6,0.0,0,500
25,7,0.068,34,500
25,8,0.03,15,500
25,9,0.0,0,500
25,10,0.21,105,500
26,1,0.082,41,500
26,2,0.0,0,500
26,3,0.196,98,500
26,4,1.0,500,500
27,1,0.164,82,500
27,2,0.196,98,500
27,3,0.19,95,500
27,4,0.018,9,500
27,5,1.0,500,500
27,6,0.394,197,500
27,7,0.038,19,500
27,8,0.0,0,500
27,9,1.0,500,500
28,1,1.0,500,500
28,2,0.794,397,500
28,3,1.0,500,500
28,4,0.626,313,500
28,5,1.0,500,500
28,6,0.0,0,500
28,7,0.206,103,500
28,8,0.742,371,500
28,9,0.304,152,500
28,10,0.898,449,500
28,11,1.0,500,500
29,1,1.0,500,500
29,2,0.488,244,500
29,3,0.604,302,500
29,4,0.322,161,500
29,5,0.576,288,500
29,6,0.348,174,500
29,7,0.952,476,500
29,8,0.056,28,500
29,9,0.652,326,500
29,10,0.952,476,500
29,11,1.0,500,500
30,1,1.0,500,500
30,2,0.602,301,500
30,3,0.112,56,500
30,4,0.802,401,500
30,5,0.0,0,500
30,6,0.844,422,500
30,7,0.628,314,500
30,8,0.906,453,500
30,9,0.952,476,500
30,10,1.0,500,500
31,1,0.488,244,500
31,2,0.462,231,500
31,3,0.454,227,500
31,4,0.6,300,500
31,5,0.484,242,500
31,6,0.41,205,500
31,7,0.806,403,500
31,8,0.976,488,500
31,9,1.0,500,500
31,10,1.0,500,500
32,1,0.408,204,500
32,2,0.242,121,500
32,3,0.71,355,500
32,4,0.266,133,500
32,5,0.722,361,500
