Factor,Model,Coefficient,CI_Lower,CI_Upper,Significant
Athlete,Judge Preference,-0.18487119145795816,-0.40852644555037076,0.03878406263445444,False
Athlete,Fan Preference,0.13808546990672463,-0.12984296012137,0.4060138999348193,False
Musician,Judge Preference,-0.1047495185641124,-0.3472200805787517,0.13772104345052688,False
Musician,Fan Preference,-0.13640180096834256,-0.42712670657310803,0.15432310463642288,False
Other,Judge Preference,-0.4454064949368509,-0.638160001654077,-0.2526529882196248,True
Other,Fan Preference,-0.3080241370875005,-0.5389975750763439,-0.07705069909865703,True
Midwest,Judge Preference,0.2509829122602281,-0.40528035548078295,0.9072461800012392,False
Midwest,Fan Preference,0.015621525464869352,-0.7696013857454359,0.8008444366751747,False
Northeast,Judge Preference,0.19692487096566152,-0.4554523648965147,0.8493021068278377,False
Northeast,Fan Preference,0.3972761499964266,-0.38399423777253383,1.178546537765387,False
South,Judge Preference,0.20247044781904885,-0.4391164012990718,0.8440572969371696,False
South,Fan Preference,0.28358172707528667,-0.4828670628668889,1.0500305170174622,False
Unknown,Judge Preference,0.3513547215845099,-0.3133903700287301,1.01609981319775,False
Unknown,Fan Preference,0.2473512583614605,-0.5493054325875399,1.044007949310461,False
West,Judge Preference,0.22149105384675769,-0.4289855618858215,0.8719676695793369,False
West,Fan Preference,0.1793485381638509,-0.5994447976432022,0.958141873970904,False
Age,Judge Preference,-0.024604221805445886,-0.0527273963922067,0.0035189527813149282,False
Age,Fan Preference,-0.02138887021844544,-0.05478774181141154,0.012010001374520664,False
Age²,Judge Preference,-0.00010077934925647748,-0.00042071479159305964,0.0002191560930801047,False
Age²,Fan Preference,2.2008485766732753e-05,-0.00035889410071085015,0.0004029110722443156,False
Group Var,Judge Preference,0.08644117071106287,-0.0010253418298406813,0.17390768325196643,False
Group Var,Fan Preference,0.032994259322616994,-0.03968616342582335,0.10567468207105735,False
