celebrity,season,week,judge_score,judge_percent,fan_percent_mean,fan_percent_std,is_exited,exit_week,final_rank,placement,n_valid_samples
John O'Hurley,1,1,6.666666666666667,0.18348623853211007,0.16548225534852315,0.13977689999464962,False,6.0,2.0,2.0,10000
Kelly Monaco,1,1,4.333333333333333,0.11926605504587154,0.16717237739309931,0.1414064242684047,False,6.0,1.0,1.0,10000
Evander Holyfield,1,1,6.0,0.16513761467889906,0.16763447503279533,0.14156006203544205,False,3.0,,5.0,10000
Rachel Hunter,1,1,6.666666666666667,0.18348623853211007,0.166523016562931,0.1409198980337188,False,4.0,,4.0,10000
Joey McIntyre,1,1,6.666666666666667,0.18348623853211007,0.16599182313119004,0.14109483990539154,False,6.0,3.0,3.0,10000
Trista Sutter,1,1,6.0,0.16513761467889906,0.16719605253146225,0.1413822195649324,False,2.0,,6.0,10000
John O'Hurley,1,2,8.666666666666666,0.21487603305785122,0.1435250051728832,0.12663317903061003,False,6.0,2.0,2.0,977
Kelly Monaco,1,2,5.666666666666667,0.14049586776859505,0.22122828931263136,0.12953622708414178,False,6.0,1.0,1.0,977
Evander Holyfield,1,2,4.666666666666667,0.11570247933884298,0.2833114342863215,0.12637354728539615,False,3.0,,5.0,977
Rachel Hunter,1,2,8.0,0.1983471074380165,0.15195364633066707,0.13011977480527104,False,4.0,,4.0,977
Joey McIntyre,1,2,7.0,0.17355371900826444,0.16320278780450292,0.1285051441033643,False,6.0,3.0,3.0,977
Trista Sutter,1,2,6.333333333333333,0.15702479338842973,0.03677883709299494,0.031134703540786145,True,2.0,,6.0,977
John O'Hurley,1,3,8.0,0.22641509433962262,0.20825932516090045,0.1649816876435549,False,6.0,2.0,2.0,4270
Kelly Monaco,1,3,7.0,0.1981132075471698,0.2784304670042361,0.15988686657315265,False,6.0,1.0,1.0,4270
Evander Holyfield,1,3,4.333333333333333,0.12264150943396225,0.08078455411895233,0.0638374037367018,True,3.0,,5.0,4270
Rachel Hunter,1,3,8.666666666666666,0.2452830188679245,0.20827338397722395,0.16870633907351404,False,4.0,,4.0,4270
Joey McIntyre,1,3,7.333333333333333,0.20754716981132074,0.22425226973868725,0.1617581944661098,False,6.0,3.0,3.0,4270
John O'Hurley,1,4,7.0,0.22826086956521738,0.2718031548067433,0.07815167413178757,False,6.0,2.0,2.0,414
Kelly Monaco,1,4,8.666666666666666,0.2826086956521739,0.1478902936682878,0.0646961395140316,False,6.0,1.0,1.0,414
Rachel Hunter,1,4,8.333333333333334,0.2717391304347826,0.06199413275354935,0.048964917854533815,True,4.0,,4.0,414
Joey McIntyre,1,4,6.666666666666667,0.21739130434782608,0.5183124187714194,0.12518152781242475,False,6.0,3.0,3.0,414
John O'Hurley,1,5,9.0,0.36986301369863017,0.3324664095893093,0.23671571108351522,False,6.0,2.0,2.0,10000
Kelly Monaco,1,5,7.833333333333333,0.3219178082191781,0.33567338469423896,0.2394177564357171,False,6.0,1.0,1.0,10000
Joey McIntyre,1,5,7.5,0.3082191780821918,0.3318602057164499,0.23558218084568822,False,6.0,3.0,3.0,10000
John O'Hurley,1,6,9.0,0.49541284403669733,0.24972299457059785,0.14483944595441464,False,6.0,2.0,2.0,5012
Kelly Monaco,1,6,9.166666666666666,0.5045871559633028,0.7502770054294023,0.14483944595441464,False,6.0,1.0,1.0,5012
Tatum O'Neal,2,1,7.666666666666667,0.11794871794871796,0.10192766991073741,0.09135591379778141,False,2.0,,9.0,2183
Tia Carrere,2,1,6.666666666666667,0.10256410256410257,0.10345333393025198,0.0892842770161182,False,5.0,,6.0,2183
George Hamilton,2,1,6.0,0.09230769230769231,0.11978102338427166,0.08863013028347894,False,6.0,,5.0,2183
Lisa Rinna,2,1,6.333333333333333,0.09743589743589744,0.10669966073408509,0.08896202049176681,False,7.0,,4.0,2183
Stacy Keibler,2,1,7.333333333333333,0.11282051282051282,0.10123666064641546,0.08959177157418956,False,8.0,3.0,3.0,2183
Jerry Rice,2,1,7.0,0.1076923076923077,0.1041577168031038,0.09311839199925834,False,8.0,2.0,2.0,2183
Giselle Fernandez,2,1,7.666666666666667,0.11794871794871796,0.101176075847127,0.0923155770817279,False,3.0,,8.0,2183
Master P,2,1,4.0,0.06153846153846154,0.13879323097507779,0.0910996552707106,False,4.0,,7.0,2183
Drew Lachey,2,1,8.0,0.12307692307692308,0.09915680612651484,0.08896648929978136,False,8.0,1.0,1.0,2183
Kenny Mayne,2,1,4.333333333333333,0.06666666666666667,0.02361782164241504,0.01980783101148266,True,1.0,,10.0,2183
