celebrity,season,week,judge_score,judge_percent,fan_percent_mean,fan_percent_std,is_exited,exit_week,final_rank,placement,n_valid_samples
John O'Hurley,1,1,6.666666666666667,0.18348623853211007,0.16800070857135166,0.1405160954701324,False,6.0,2.0,2.0,10000
Kelly Monaco,1,1,4.333333333333333,0.11926605504587154,0.16531687711369583,0.13847207119777247,False,6.0,1.0,1.0,10000
Evander Holyfield,1,1,6.0,0.16513761467889906,0.16663449741346661,0.1416736140195429,False,3.0,,5.0,10000
Rachel Hunter,1,1,6.666666666666667,0.18348623853211007,0.16658780574027354,0.14138156090520926,False,4.0,,4.0,10000
Joey McIntyre,1,1,6.666666666666667,0.18348623853211007,0.16739891228590664,0.14220500865744357,False,6.0,3.0,3.0,10000
Trista Sutter,1,1,6.0,0.16513761467889906,0.16606119887530607,0.1396369096377228,False,2.0,,6.0,10000
John O'Hurley,1,2,8.666666666666666,0.21487603305785122,0.14466264428140868,0.12740452835990163,False,6.0,2.0,2.0,1025
Kelly Monaco,1,2,5.666666666666667,0.14049586776859505,0.22437001576861534,0.1314477199581631,False,6.0,1.0,1.0,1025
Evander Holyfield,1,2,4.666666666666667,0.11570247933884298,0.28542160957675505,0.1280871490927028,False,3.0,,5.0,1025
Rachel Hunter,1,2,8.0,0.1983471074380165,0.1458811427718814,0.12704104818318254,False,4.0,,4.0,1025
Joey McIntyre,1,2,7.0,0.17355371900826444,0.16361806101712068,0.12526543592212405,False,6.0,3.0,3.0,1025
Trista Sutter,1,2,6.333333333333333,0.15702479338842973,0.036046526584219196,0.03021373890986102,True,2.0,,6.0,1025
John O'Hurley,1,3,8.0,0.22641509433962262,0.2113210075721608,0.16609419066911701,False,6.0,2.0,2.0,4237
Kelly Monaco,1,3,7.0,0.1981132075471698,0.2796558456879752,0.15644014692802452,False,6.0,1.0,1.0,4237
Evander Holyfield,1,3,4.333333333333333,0.12264150943396225,0.07992069514433002,0.06500101424383727,True,3.0,,5.0,4237
Rachel Hunter,1,3,8.666666666666666,0.2452830188679245,0.20909661623105918,0.16838942816205602,False,4.0,,4.0,4237
Joey McIntyre,1,3,7.333333333333333,0.20754716981132074,0.22000583536447438,0.16177752599114384,False,6.0,3.0,3.0,4237
John O'Hurley,1,4,7.0,0.22826086956521738,0.2620957251231673,0.08177015294302928,False,6.0,2.0,2.0,409
Kelly Monaco,1,4,8.666666666666666,0.2826086956521739,0.14567869739019199,0.06329739226326958,False,6.0,1.0,1.0,409
Rachel Hunter,1,4,8.333333333333334,0.2717391304347826,0.06554207216104649,0.04867458140134393,True,4.0,,4.0,409
Joey McIntyre,1,4,6.666666666666667,0.21739130434782608,0.5266835053255939,0.1369769201674636,False,6.0,3.0,3.0,409
John O'Hurley,1,5,9.0,0.36986301369863017,0.33487340076077354,0.23672423116754598,False,6.0,2.0,2.0,10000
Kelly Monaco,1,5,7.833333333333333,0.3219178082191781,0.3326819122769749,0.23330667343733322,False,6.0,1.0,1.0,10000
