season,week,judge_lowest,actual_exited
1,2,Evander Holyfield,Trista Sutter
1,4,Joey McIntyre,Rachel Hunter
2,1,Master P,Kenny Mayne
2,2,Master P,Tatum O'Neal
2,3,Master P,Giselle Fernandez
2,7,Jerry Rice,Lisa Rinna
3,2,Jerry Springer,Shanna Moakler
3,3,Emmitt Smith,Harry Hamlin
3,4,Sara Evans,Vivica A. Fox
3,5,Sara Evans,Willa Ford
4,2,Clyde Drexler,Paulina Porizkova
4,3,Clyde Drexler,Shandi Finnessey
4,4,Clyde Drexler,Leeza Gibbons
4,6,John Ratzenberger,Heather Mills
4,7,Billy Ray Cyrus,John Ratzenberger
5,2,Wayne Newton,Albert Reed
5,4,Mark Cuban,Floyd Mayweather Jr. 
5,5,Marie Osmond,Mark Cuban
5,6,Jane Seymour,Sabrina Bryan
5,8,Marie Osmond,Cameron Mathison
5,9,Marie Osmond,Jennie Garth
6,3,Marissa Jaret Winokur,Steve Guttenberg
6,7,Cristian de la Fuente,Shannon Elizabeth
6,8,Marissa Jaret Winokur,Mario
7,1,Jeffrey Ross,Ted McGinley
7,2,Cloris Leachman,Misty May-Treanor
7,5,Cloris Leachman,Toni Braxton
7,7,Warren Sapp,Susan Lucci
7,8,Cody Linley,Maurice Greene
8,2,Steve-O,Belinda Carlisle
8,3,Steve Wozniak,Denise Richards
8,5,Steve-O,David Alan Grier
8,8,Melissa Rycroft,Chuck Wicks
8,9,Ty Murray,Lil' Kim
9,3,Michael Irvin,Debi Mazar
9,4,Louie Vito,Chuck Liddell
9,5,Michael Irvin,Natalie Coughlin
9,6,Michael Irvin,Melissa Joan Hart
9,9,Donny Osmond,Joanna Krupa
10,2,Buzz Aldrin,Shannen Doherty
10,4,Kate Gosselin,Aiden Turner
10,7,Niecy Nash,Pamela Anderson
11,5,Bristol Palin,Florence Henderson
11,6,Kurt Warner,Audrina Patridge
11,7,Bristol Palin,Rick Fox
11,8,Bristol Palin,Kurt Warner
11,9,Bristol Palin,Brandy
12,2,Sugar Ray Leonard,Mike Catherwood
12,4,Kendra Wilkinson,Sugar Ray Leonard
12,5,Ralph Macchio,Petra Nemcova
12,7,Kirstie Alley,Kendra Wilkinson
12,8,Ralph Macchio,Romeo
13,2,Chaz Bono,Elisabetta Canalis
13,3,Chaz Bono,Kristin Cavallari
13,4,Carson Kressley,Chynna Phillips
13,7,Nancy Grace,David Arquette
14,4,Gladys Knight,Sherri Sheperd
14,7,Melissa Gilbert,Jaleel White
14,8,Melissa Gilbert,Roshon Fegan
14,9,Katherine Jenkins,Maria Menounos
